Date,CDM# MD,CDM# Image,Notes
10/4/2018,304,304,
10/5/2018,12642,12641,
10/6/2018,12644,12643,
10/7/2018,12646,12645,
10/8/2018,12622,12621,
10/9/2018,12636,12635,
10/10/2018,12652,12651,
10/11/2018,12654,12653,
10/12/2018,12656,12655,
10/13/2018,68604,68602,
10/14/2018,68601,68599,
10/15/2018,68607,68605,
10/16/2018,68541,68540,
10/17/2018,107512,107512,
10/18/2018,107491,107491,
10/19/2018,107467,107467,
10/20/2018,107447,107447,
10/21/2018,104073,104073,
10/22/2018,107466,107466,
10/23/2018,107496,107496,
10/24/2018,107191,107191,
10/25/2018,107199,107199,
10/26/2018,107204,107204,
10/27/2018,107203,107203,
10/28/2018,107202,107202,
10/29/2018,107201,107201,
10/30/2018,107200,107200,
10/31/2018,107198,107198,
11/1/2018,107197,107197,
11/2/2018,29735,29734,
11/3/2018,105875,105873,
11/4/2018,105875,105874,
11/5/2018,107437,107217,
11/6/2018,107522,107522,
11/7/2018,107449,107449,
11/8/2018,107437,107275,
11/9/2018,107488,107488,
11/10/2018,95526,95524,
11/11/2018,107493,107493,
11/12/2018,96990,96990,
11/13/2018,107477,107477,
11/14/2018,107437,107291,
11/15/2018,107501,107501,
11/16/2018,95336,95335,
11/17/2018,95338,95337,
11/18/2018,95343,95342,
11/19/2018,95504,95503,
11/20/2018,95523,95522,
11/21/2018,95543,95542,
11/22/2018,11766,11765,
11/23/2018,95564,95563,
11/24/2018,95566,95565,
11/25/2018,95590,95589,
11/26/2018,95562,95561,
11/27/2018,107504,107504,
11/28/2018,107507,107507,
11/29/2018,107485,107485,
11/30/2018,107455,107455,
12/1/2018,107516,107516,
12/2/2018,107437,107313,
12/3/2018,107450,107450,
12/4/2018,322,322,
12/5/2018,318,318,
12/6/2018,284,284,
12/7/2018,107437,107315,
12/8/2018,283,283,
12/9/2018,260,260,
12/10/2018,231,231,
12/11/2018,107446,107446,
12/12/2018,107438,107438,
12/13/2018,107440,107440,
12/14/2018,107441,107441,
12/15/2018,2316,2316,
12/16/2018,104464,104458,
12/17/2018,2295,2295,
12/18/2018,104476,104468,
12/19/2018,105858,105858,
12/20/2018,2220,2220,
12/21/2018,105844,105844,
12/22/2018,338,338,
12/23/2018,104542,104534,
12/24/2018,5887,5887,
12/25/2018,332,332,
12/26/2018,201,201,
12/27/2018,311,311,
12/28/2018,232,232,
12/29/2018,199,199,
12/30/2018,206,206,
12/31/2018,244,244,
1/1/2019,179,179,New Year's Day
1/2/2019,104935,104933,
1/3/2019,221,221,
1/4/2019,194,194,
1/5/2019,323,323,
1/6/2019,29724,29723,Map Week
1/7/2019,29690,29689,Map Week
1/8/2019,29716,29715,Map Week
1/9/2019,29651,29650,Map Week
1/10/2019,29714,29713,Map Week
1/11/2019,29653,29652,Map Week
1/12/2019,29670,29669,Map Week
1/13/2019,74230,74187,Book: Toledo the Convention City Week
1/14/2019,74230,74188,Book: Toledo the Convention City Week
1/15/2019,74230,74190,Book: Toledo the Convention City Week
1/16/2019,74230,74191,Book: Toledo the Convention City Week
1/17/2019,74230,74192,Book: Toledo the Convention City Week
1/18/2019,74230,74193,Book: Toledo the Convention City Week
1/19/2019,74230,74194,Book: Toledo the Convention City Week
1/20/2019,328,328,
1/21/2019,104065,104065,"Martin Luther King, Jr. Day"
1/22/2019,343,343,
1/23/2019,297,297,
1/24/2019,317,317,
1/25/2019,327,327,
1/26/2019,239,239,
1/27/2019,299,299,
1/28/2019,236,236,
1/29/2019,301,301,
1/30/2019,264,264,
1/31/2019,304,304,
2/1/2019,104064,104064,African American History Month
2/2/2019,104067,104067,African American History Month
2/3/2019,104069,104069,African American History Month
2/4/2019,104071,104071,African American History Month
2/5/2019,104072,104072,African American History Month
2/6/2019,104074,104074,African American History Month
2/7/2019,104076,104076,African American History Month
2/8/2019,104079,104079,African American History Month
2/9/2019,104082,104082,African American History Month
2/10/2019,104083,104083,African American History Month
2/11/2019,104085,104085,African American History Month
2/12/2019,104086,104086,African American History Month
2/13/2019,104088,104088,African American History Month
2/14/2019,104090,104090,African American History Month
2/15/2019,104091,104091,African American History Month
2/16/2019,104092,104092,African American History Month
2/17/2019,104093,104093,African American History Month
2/18/2019,104096,104096,African American History Month
2/19/2019,104097,104097,African American History Month
2/20/2019,104100,104100,African American History Month
2/21/2019,104101,104101,African American History Month
2/22/2019,104102,104102,African American History Month
2/23/2019,104104,104104,African American History Month
2/24/2019,104108,104108,African American History Month
2/25/2019,104110,104110,African American History Month
2/26/2019,104111,104111,African American History Month
2/27/2019,104112,104112,African American History Month
2/28/2019,104114,104114,African American History Month
3/1/2019,12401,12400,Women's History Month
3/2/2019,217,217,Women's History Month
3/3/2019,51291,51290,Women's History Month
3/4/2019,105293,105293,Women's History Month
3/5/2019,105274,105274,Women's History Month
3/6/2019,2226,2226,Women's History Month
3/7/2019,238,238,Women's History Month
3/8/2019,104105,104105,Women's History Month; International Women's Day
3/9/2019,97158,97158,Women's History Month
3/10/2019,97164,97164,Women's History Month
3/11/2019,2311,2311,Women's History Month
3/12/2019,97110,97110,Women's History Month
3/13/2019,97125,97125,Women's History Month
3/14/2019,97150,97150,Women's History Month
3/15/2019,218,218,Women's History Month
3/16/2019,281,281,Women's History Month
3/17/2019,296,296,Women's History Month
3/18/2019,344,344,Women's History Month
3/19/2019,253,253,Women's History Month
3/20/2019,184,184,Women's History Month
3/21/2019,105288,105288,Women's History Month; Purim
3/22/2019,234,234,Women's History Month
3/23/2019,351,351,Women's History Month
3/24/2019,77919,77765,Women's History Month; Toledo. Its motto
3/25/2019,77919,77769,Women's History Month; Toledo. Its motto
3/26/2019,77919,77771,Women's History Month; Toledo. Its motto
3/27/2019,77919,77781,Women's History Month; Toledo. Its motto
3/28/2019,77919,77784,Women's History Month; Toledo. Its motto
3/29/2019,77919,77787,Women's History Month; Toledo. Its motto
3/30/2019,77919,77798,Women's History Month; Toledo. Its motto
3/31/2019,77919,77801,Women's History Month; Toledo. Its motto
4/1/2019,105250,105250,Jewish American Heritage Month
4/2/2019,105254,105254,Jewish American Heritage Month
4/3/2019,105271,105271,Jewish American Heritage Month
4/4/2019,105282,105282,Jewish American Heritage Month
4/5/2019,105248,105248,Jewish American Heritage Month
4/6/2019,105236,105236,Jewish American Heritage Month
4/7/2019,105289,105289,Jewish American Heritage Month
4/8/2019,105275,105275,Jewish American Heritage Month
4/9/2019,105303,105303,Jewish American Heritage Month
4/10/2019,105253,105253,Jewish American Heritage Month
4/11/2019,105234,105234,Jewish American Heritage Month
4/12/2019,105292,105292,Jewish American Heritage Month
4/13/2019,105251,105251,Jewish American Heritage Month
4/14/2019,105245,105245,Jewish American Heritage Month
4/15/2019,105278,105278,Jewish American Heritage Month
4/16/2019,105252,105252,Jewish American Heritage Month
4/17/2019,105239,105239,Jewish American Heritage Month
4/18/2019,105268,105268,Jewish American Heritage Month
4/19/2019,105307,105307,Jewish American Heritage Month
4/20/2019,105277,105277,Jewish American Heritage Month
4/21/2019,2146,2142,Jewish American Heritage Month; Easter
4/22/2019,105235,105235,Jewish American Heritage Month
4/23/2019,105300,105300,Jewish American Heritage Month
4/24/2019,105270,105270,Jewish American Heritage Month
4/25/2019,105255,105255,Jewish American Heritage Month
4/26/2019,105290,105290,Jewish American Heritage Month
4/27/2019,105247,105247,Jewish American Heritage Month
4/28/2019,105299,105299,Jewish American Heritage Month
4/29/2019,105233,105233,Jewish American Heritage Month
4/30/2019,105287,105287,Jewish American Heritage Month
5/1/2019,230,230,
5/2/2019,342,342,
5/3/2019,257,257,
5/4/2019,208,208,
5/5/2019,104926,104924,Stereograph Week
5/6/2019,104839,104837,Stereograph Week
5/7/2019,104824,104822,Stereograph Week
5/8/2019,104994,104992,Stereograph Week
5/9/2019,104932,104930,Stereograph Week
5/10/2019,104938,104936,Stereograph Week
5/11/2019,104962,104960,Stereograph Week
5/12/2019,29641,29640,Map Week
5/13/2019,29676,29675,Map Week
5/14/2019,29678,29677,Map Week
5/15/2019,29694,29693,Map Week
5/16/2019,29700,29699,Map Week
5/17/2019,29708,29707,Map Week
5/18/2019,29655,29654,Map Week
5/19/2019,225,225,
5/20/2019,222,222,
5/21/2019,181,181,
5/22/2019,97078,97078,
5/23/2019,97013,97013,
5/24/2019,96993,96993,
5/25/2019,96987,96987,
5/26/2019,97070,97070,
5/27/2019,97098,97098,Memorial Day
5/28/2019,96956,96956,
5/29/2019,96963,96963,
5/30/2019,97052,97052,
5/31/2019,97093,97093,
6/1/2019,12620,12619,Immigrant Heritage Month
6/2/2019,46446,46380,Immigrant Heritage Month
6/3/2019,105257,105257,Immigrant Heritage Month
6/4/2019,91599,91518,Immigrant Heritage Month
6/5/2019,2250,2250,Immigrant Heritage Month
6/6/2019,2297,2297,Immigrant Heritage Month
6/7/2019,5885,5885,Immigrant Heritage Month
6/8/2019,105258,105258,Immigrant Heritage Month
6/9/2019,2149,2147,Immigrant Heritage Month
6/10/2019,97206,97206,Immigrant Heritage Month
6/11/2019,12037,12033,Immigrant Heritage Month
6/12/2019,12067,12063,Immigrant Heritage Month
6/13/2019,97119,97119,Immigrant Heritage Month
6/14/2019,35439,35283,Immigrant Heritage Month; Flag Day
6/15/2019,2312,2312,Immigrant Heritage Month
6/16/2019,2301,2301,Immigrant Heritage Month
6/17/2019,12187,12186,Immigrant Heritage Month
6/18/2019,12331,12330,Immigrant Heritage Month
6/19/2019,12558,12557,Immigrant Heritage Month
6/20/2019,182,182,Immigrant Heritage Month
6/21/2019,12618,12617,Immigrant Heritage Month
6/22/2019,2303,2303,Immigrant Heritage Month
6/23/2019,1985,1980,Immigrant Heritage Month
6/24/2019,12598,12597,Immigrant Heritage Month
6/25/2019,2298,2298,Immigrant Heritage Month
6/26/2019,97183,97183,Immigrant Heritage Month
6/27/2019,2309,2309,Immigrant Heritage Month
6/28/2019,2343,2343,Immigrant Heritage Month
6/29/2019,334,334,Immigrant Heritage Month
6/30/2019,295,295,Immigrant Heritage Month
7/1/2019,223,223,
7/2/2019,214,214,
7/3/2019,291,291,
7/4/2019,6142,6141,Independence Day
7/5/2019,224,224,
7/6/2019,190,190,
7/7/2019,105852,105852,Tiedtke's Week
7/8/2019,105847,105847,Tiedtke's Week
7/9/2019,105828,105828,Tiedtke's Week
7/10/2019,105835,105835,Tiedtke's Week
7/11/2019,105856,105856,Tiedtke's Week
7/12/2019,105845,105845,Tiedtke's Week
7/13/2019,105838,105838,Tiedtke's Week
7/14/2019,104584,104584,Architectural Renderings Week
7/15/2019,77998,77997,Architectural Renderings Week
7/16/2019,78000,77999,Architectural Renderings Week
7/17/2019,104587,104587,Architectural Renderings Week
7/18/2019,78054,78053,Architectural Renderings Week
7/19/2019,78028,78027,Architectural Renderings Week
7/20/2019,78108,78107,Architectural Renderings Week
7/21/2019,192,192,
7/22/2019,197,197,
7/23/2019,346,346,
7/24/2019,246,246,
7/25/2019,219,219,
7/26/2019,265,265,
7/27/2019,105305,105305,
7/28/2019,74183,74151,photographic views of the city's commercial and picturesque features
7/29/2019,74183,74152,photographic views of the city's commercial and picturesque features
7/30/2019,74183,74154,photographic views of the city's commercial and picturesque features
7/31/2019,74183,74155,photographic views of the city's commercial and picturesque features
8/1/2019,74183,74158,photographic views of the city's commercial and picturesque features
8/2/2019,74183,74159,photographic views of the city's commercial and picturesque features
8/3/2019,74183,74162,photographic views of the city's commercial and picturesque features
8/4/2019,104905,104903,Stereograph Week
8/5/2019,104950,104948,Stereograph Week
8/6/2019,105067,105065,Stereograph Week
8/7/2019,104854,104852,Stereograph Week
8/8/2019,104985,104983,Stereograph Week
8/9/2019,104881,104879,Stereograph Week
8/10/2019,105040,105038,Stereograph Week
8/11/2019,330,330,
8/12/2019,200,200,
8/13/2019,266,266,
8/14/2019,274,274,
8/15/2019,229,229,
8/16/2019,345,345,
8/17/2019,209,209,
8/18/2019,213,213,
8/19/2019,319,319,
8/20/2019,307,307,
8/21/2019,348,348,
8/22/2019,350,350,
8/23/2019,272,272,
8/24/2019,300,300,
8/25/2019,312,312,
8/26/2019,6107,6103,
8/27/2019,204,204,
8/28/2019,306,306,
8/29/2019,333,333,
8/30/2019,198,198,
8/31/2019,335,335,
9/1/2019,280,280,
9/2/2019,42024,42016,Labor Day
9/3/2019,89111,89008,
9/4/2019,42036,42034,
9/5/2019,42027,42025,
9/6/2019,88151,88150,
9/7/2019,88161,88160,
9/8/2019,88185,88184,
9/9/2019,88187,88186,
9/10/2019,88189,88188,
9/11/2019,187,187,
9/12/2019,12622,12621,
9/13/2019,12624,12623,
9/14/2019,12626,12625,
9/15/2019,12628,12627,National Hispanic Heritage Month
9/16/2019,12630,12629,National Hispanic Heritage Month
9/17/2019,12632,12631,National Hispanic Heritage Month
9/18/2019,12634,12633,National Hispanic Heritage Month
9/19/2019,12636,12635,National Hispanic Heritage Month
9/20/2019,12642,12641,National Hispanic Heritage Month
9/21/2019,12644,12643,National Hispanic Heritage Month
9/22/2019,12646,12645,National Hispanic Heritage Month
9/23/2019,12652,12651,National Hispanic Heritage Month
9/24/2019,12654,12653,National Hispanic Heritage Month
9/25/2019,12656,12655,National Hispanic Heritage Month
9/26/2019,68604,68602,National Hispanic Heritage Month
9/27/2019,68601,68599,National Hispanic Heritage Month
9/28/2019,68607,68605,National Hispanic Heritage Month
9/29/2019,68541,68540,National Hispanic Heritage Month
9/30/2019,68564,68544,National Hispanic Heritage Month; Rosh HaShanah
10/1/2019,88754,88749,National Hispanic Heritage Month
10/2/2019,88729,88728,National Hispanic Heritage Month
10/3/2019,88482,88481,National Hispanic Heritage Month
10/4/2019,88585,88584,National Hispanic Heritage Month
10/5/2019,88719,88718,National Hispanic Heritage Month
10/6/2019,88525,88523,National Hispanic Heritage Month
10/7/2019,88803,88802,National Hispanic Heritage Month
10/8/2019,88705,88704,National Hispanic Heritage Month
10/9/2019,88798,88797,National Hispanic Heritage Month; Yom Kippur
10/10/2019,88673,88671,National Hispanic Heritage Month
10/11/2019,88807,88806,National Hispanic Heritage Month
10/12/2019,88573,88569,National Hispanic Heritage Month
10/13/2019,88537,88536,National Hispanic Heritage Month
10/14/2019,88778,88777,National Hispanic Heritage Month
10/15/2019,88717,88716,National Hispanic Heritage Month
10/16/2019,88522,88492,
10/17/2019,88805,88804,
10/18/2019,88663,88611,
10/19/2019,88815,88814,
10/20/2019,51295,51294,Huebner Collection Week
10/21/2019,51287,51286,Huebner Collection Week
10/22/2019,51289,51288,Huebner Collection Week
10/23/2019,51293,51292,Huebner Collection Week
10/24/2019,51297,51296,Huebner Collection Week
10/25/2019,51299,51298,Huebner Collection Week
10/26/2019,51249,51248,Huebner Collection Week
10/27/2019,105836,105836,Tiedtke's Week
10/28/2019,105839,105839,Tiedtke's Week
10/29/2019,105820,105820,Tiedtke's Week
10/30/2019,105872,105872,Tiedtke's Week
10/31/2019,105855,105855,Tiedtke's Week
11/1/2019,105827,105827,Tiedtke's Week
11/2/2019,105819,105819,Tiedtke's Week
11/3/2019,254,254,
11/4/2019,237,237,
11/5/2019,288,288,
11/6/2019,104073,104073,Election Day
11/7/2019,96954,96954,
11/8/2019,96941,96941,
11/9/2019,97037,97037,
11/10/2019,97099,97099,
11/11/2019,96990,96990,Veterans Day
11/12/2019,96972,96972,
11/13/2019,97097,97097,
11/14/2019,97076,97076,
11/15/2019,96995,96995,
11/16/2019,96968,96968,
11/17/2019,96955,96955,
11/18/2019,349,349,
11/19/2019,324,324,
11/20/2019,336,336,
11/21/2019,249,249,
11/22/2019,282,282,
11/23/2019,226,226,
11/24/2019,233,233,
11/25/2019,240,240,
11/26/2019,340,340,
11/27/2019,315,315,
11/28/2019,11766,11765,Thanksgiving
11/29/2019,205,205,
11/30/2019,290,290,
12/1/2019,97169,97169,CUCC Week
12/2/2019,97167,97167,CUCC Week
12/3/2019,97179,97179,CUCC Week
12/4/2019,97191,97191,CUCC Week
12/5/2019,97152,97152,CUCC Week
12/6/2019,97142,97142,CUCC Week
12/7/2019,97104,97104,CUCC Week
12/8/2019,78090,78089,Architectural Renderings Week
12/9/2019,78092,78091,Architectural Renderings Week
12/10/2019,104616,104616,Architectural Renderings Week
12/11/2019,78016,78015,Architectural Renderings Week
12/12/2019,78040,78039,Architectural Renderings Week
12/13/2019,104586,104586,Architectural Renderings Week
12/14/2019,104618,104618,Architectural Renderings Week
12/15/2019,2316,2316,
12/16/2019,104464,104458,
12/17/2019,2295,2295,
12/18/2019,104476,104468,
12/19/2019,105858,105858,
12/20/2019,2220,2220,
12/21/2019,105844,105844,
12/22/2019,338,338,
12/23/2019,104542,104534,Hanukkah
12/24/2019,5887,5887,Christmas Eve
12/25/2019,332,332,Christmas Day
12/26/2019,201,201,
12/27/2019,311,311,
12/28/2019,232,232,
12/29/2019,199,199,199
12/30/2019,206,206,
12/31/2019,244,244,
